Iteration,Rank
0,4
50,1
100,4
150,2
200,11
250,1
300,1
350,1
400,11
450,1
500,5
550,9
600,1
650,1
700,1
750,8
800,1
850,5
900,9
950,1
1000,11
1050,3
1100,5
1150,1
1200,11
1250,1
1300,1
1350,1
1400,1
1450,7
1500,1
1550,1
1600,1
1650,1
1700,1
1750,1
1800,11
1850,1
1900,1
1950,8
2000,1
